Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,193.00,200.990005,176.809998,183.399994,40700,182.222748
2015-11-02,210.289993,213.360001,170.009995,193.669998,52200,192.426834
2015-10-01,192.809998,220.929993,188.529999,211.210007,52300,209.854248
2015-09-01,152.50,199.869995,152.029999,193.380005,60300,191.907806
2015-08-03,163.070007,174.100006,126.309998,154.229996,48300,153.055847
2015-07-01,151.929993,175.50,146.570007,162.00,59900,160.766693
2015-06-01,116.489998,153.039993,113.669998,151.070007,43100,149.681046
2015-05-01,113.940002,116.400002,111.07,113.57,17600,112.525826
2015-04-01,113.599998,116.449997,111.199997,113.00,15800,111.96106
2015-03-02,105.00,116.110001,99.279999,113.059998,20700,111.774742
2015-02-02,97.00,107.389999,95.959999,104.389999,18000,103.2033
2015-01-02,88.790001,105.699997,86.900002,97.540001,22100,96.431175
2014-12-01,93.059998,93.559998,82.32,88.029999,42300,86.819939
2014-11-03,89.779999,95.650002,87.540001,94.559998,16800,93.26017
2014-10-01,74.260002,91.290001,73.040001,90.440002,25400,89.196815
2014-09-02,74.839996,77.830002,74.010002,74.629997,20800,73.392746
2014-08-01,69.82,76.269997,69.120003,74.360001,17000,73.127228
2014-07-01,74.00,75.860001,68.75,69.82,16400,68.662491
2014-06-02,75.629997,77.07,72.010002,73.669998,25300,72.192482
2014-05-01,82.169998,84.839996,74.650002,75.260002,32800,73.750595
2014-04-01,85.349998,85.980003,78.010002,82.230003,33700,80.580811
2014-03-03,76.769997,89.400002,76.019997,84.980003,48400,83.025848
2014-02-03,68.279999,76.519997,65.739998,75.639999,25400,73.90062
2014-01-02,72.910004,74.00,67.940002,68.279999,25300,66.709869
2013-12-02,68.309998,73.989998,66.519997,73.190002,17900,71.247467
2013-11-01,63.189999,68.970001,62.830002,67.900002,15100,66.09787
2013-10-01,62.759998,64.330002,59.060001,63.32,21000,61.639423
2013-09-03,63.459999,64.480003,62.509998,62.560001,14700,60.661335
2013-08-01,64.089996,64.889999,61.77,62.84,16500,60.932835
2013-07-01,61.299999,65.389999,60.41,63.860001,13400,61.921879
2013-06-03,59.790001,62.200001,59.419998,61.150002,24800,59.065121
2013-05-01,61.240002,61.799999,59.560001,59.790001,17900,57.751492
2013-04-01,60.50,61.98,58.00,61.50,16800,59.161709
2013-03-01,65.00,66.349998,59.869999,60.32,17300,58.026573
2013-02-01,64.730003,65.699997,62.040001,65.43,18100,62.942287
2013-01-02,68.50,69.639999,64.00,64.730003,13600,62.268906
2012-12-03,69.00,69.00,65.00,66.50,12800,63.727104
2012-11-01,68.980003,70.00,61.07,68.639999,15400,65.77787
2012-10-01,68.360001,70.93,67.510002,68.739998,11300,65.873703
2012-09-04,68.309998,69.150002,66.019997,68.099998,15200,65.021683
2012-08-01,67.919998,69.00,65.00,68.639999,12200,65.537277
2012-07-02,64.510002,67.93,63.380001,67.169998,12100,63.895027
2012-06-01,60.50,64.830002,60.049999,64.279999,16000,61.145931
2012-05-01,64.709999,64.739998,60.099998,61.27,19700,58.282692
2012-04-02,62.98,64.889999,61.060001,64.150002,18000,60.779774
2012-03-01,64.889999,65.269997,61.18,62.740002,15900,59.443851
2012-02-01,61.169998,64.989998,60.950001,64.440002,16300,61.054539
2012-01-03,59.189999,61.990002,56.509998,61.00,18200,57.558395
2011-12-01,55.459999,59.810001,53.00,58.549999,22100,55.246624
2011-11-01,55.169998,57.990002,51.529999,56.00,19000,52.840496
2011-10-03,55.169998,58.790001,50.259998,56.119999,26000,52.719002
2011-09-01,55.98,57.099998,53.50,55.459999,30200,52.098999
2011-08-01,65.760002,66.620003,55.650002,56.00,45500,52.606274
2011-07-01,67.610001,69.919998,62.860001,64.519997,23800,60.370186
2011-06-01,67.610001,69.949997,64.970001,67.660004,32300,63.308231
2011-05-02,70.599998,70.599998,65.809998,67.489998,34600,63.149158
2011-04-01,66.879997,76.32,66.199997,70.449997,46400,65.678307
2011-03-01,57.919998,67.00,55.52,66.839996,30000,62.312817
2011-02-01,54.459999,57.700001,52.799999,57.700001,22600,53.791885
2011-01-03,55.740002,57.290001,53.209999,54.02,27100,50.132099
2010-12-01,59.389999,60.459999,54.91,55.580002,27500,51.579823
2010-11-01,53.740002,59.00,53.299999,58.50,32800,54.289665
2010-10-01,52.880001,54.93,52.560001,53.32,10700,49.257351
2010-09-01,50.07,53.459999,49.830002,52.93,12400,48.897068
2010-08-02,52.41,54.599998,48.049999,49.73,20000,45.940887
2010-07-01,47.759998,53.720001,45.509998,51.599998,22500,47.435375
2010-06-01,49.23,51.580002,46.939999,47.919998,34300,44.052387
2010-05-03,55.080002,56.549999,49.279999,49.759998,31300,45.743881
2010-04-01,58.630001,59.380001,53.669998,55.080002,22800,50.405392
2010-03-01,55.709999,61.00,55.560001,58.66,21700,53.681557
2010-02-01,50.880001,57.200001,48.380001,55.650002,21500,50.927017
2010-01-04,53.279999,54.23,48.700001,50.470001,15900,45.956764
