Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,45.509998,47.23,44.330002,46.77,13858500,44.751801
2015-11-02,47.02,47.080002,44.18,45.450001,11932100,43.488758
2015-10-01,43.490002,46.98,42.200001,46.880001,14950800,44.857052
2015-09-01,45.09,46.549999,43.279999,43.509998,16828200,41.098598
2015-08-03,47.18,48.209999,38.060001,46.009998,16317200,43.460045
2015-07-01,46.639999,48.259998,45.66,46.790001,15378500,44.196819
2015-06-01,49.439999,49.540001,46.599998,46.610001,16630600,43.514313
2015-05-01,50.75,50.860001,48.970001,49.439999,14685400,46.156353
2015-04-01,48.450001,50.650002,48.43,50.439999,16188300,47.089935
2015-03-02,49.119999,49.900002,47.360001,48.630001,15444100,44.893353
2015-02-02,46.200001,49.990002,45.759998,49.450001,19160800,45.650345
2015-01-02,47.00,48.48,45.369999,45.709999,19814700,42.197716
2014-12-01,50.68,50.84,45.09,46.779999,19716200,42.680569
2014-11-03,50.490002,51.73,48.860001,50.59,13079200,46.156693
2014-10-01,49.73,50.50,46.889999,50.25,16856900,45.846485
2014-09-02,49.82,50.380001,48.259998,49.990002,13643500,45.10434
2014-08-01,50.52,50.52,48.200001,49.82,13059000,44.950951
2014-07-01,48.880001,53.66,48.540001,50.419998,15362200,45.49231
2014-06-02,50.02,50.330002,48.75,48.93,13241500,43.677612
2014-05-01,46.630001,50.009998,46.599998,49.959999,16323700,44.597046
2014-04-01,47.540001,48.459999,45.849998,46.73,25350400,41.713772
2014-03-03,47.299999,48.389999,45.830002,47.57,35659600,41.995903
2014-02-03,48.02,48.34,45.450001,47.580002,79716500,42.004734
2014-01-02,49.080002,49.400002,46.580002,48.02,18938700,42.393173
2013-12-02,49.66,49.790001,47.450001,49.139999,11626500,42.915558
2013-11-01,50.790001,51.459999,49.360001,49.619999,9384800,43.334759
2013-10-01,46.619999,51.490002,46.029999,50.509998,17263500,44.112022
2013-09-03,45.52,48.889999,45.080002,46.669998,16755900,40.301628
2013-08-01,50.049999,50.439999,46.25,47.380001,9880800,40.914745
2013-07-01,50.290001,51.939999,49.189999,49.48,9927500,42.728188
2013-06-03,48.43,51.689999,47.77,50.34,15409100,43.034435
2013-05-01,53.77,53.970001,48.470001,48.48,11538200,41.444366
2013-04-01,49.060001,54.310001,48.66,53.91,15894600,46.086342
2013-03-01,46.220001,49.59,46.110001,49.150002,13222800,41.580517
2013-02-01,44.200001,46.93,44.02,46.529999,14438000,39.364014
2013-01-02,44.490002,44.869999,41.50,43.610001,16230500,36.893719
2012-12-03,44.470001,44.939999,42.490002,43.27,12717000,36.184238
2012-11-01,44.91,45.450001,40.509998,44.119999,14285600,36.895046
2012-10-01,45.639999,48.77,43.75,44.639999,13973900,37.329891
2012-09-04,42.91,46.060001,42.77,45.57,16260800,37.692329
2012-08-01,45.43,46.41,42.18,42.939999,11263800,35.516975
2012-07-02,44.290001,46.41,43.360001,45.139999,13805500,37.336666
2012-06-01,41.52,44.77,40.919998,44.439999,19767200,36.348255
2012-05-01,40.439999,41.959999,39.849998,41.639999,12901400,34.058086
2012-04-02,38.290001,40.439999,36.799999,40.380001,14021100,33.027512
2012-03-01,38.119999,39.900002,37.560001,38.23,17661800,30.861732
2012-02-01,38.16,38.77,37.50,38.110001,12667800,30.764862
2012-01-03,40.279999,40.48,37.07,37.66,17281100,30.401592
2011-12-01,37.68,40.25,37.490002,40.119999,13083500,31.9716
2011-11-01,36.919998,37.73,35.32,37.73,14012400,30.067011
2011-10-03,36.73,37.84,35.459999,36.98,16877300,29.469336
2011-09-01,36.049999,37.389999,34.650002,36.799999,19200000,28.923065
2011-08-01,36.349998,36.720001,32.279999,36.169998,25115700,28.427914
2011-07-01,37.060001,37.869999,34.869999,35.290001,15752800,27.736277
2011-06-01,36.459999,37.25,34.939999,37.23,15965000,28.883463
2011-05-02,38.330002,38.330002,36.240002,36.93,12428100,28.650721
2011-04-01,38.580002,38.740002,36.50,37.779999,14088100,29.31016
2011-03-01,36.810001,38.950001,33.360001,38.540001,18604100,29.519604
2011-02-01,36.279999,36.939999,35.349998,36.919998,16644100,28.278769
2011-01-03,36.060001,37.700001,34.349998,35.619999,27803000,27.283037
2010-12-01,32.439999,36.00,32.220001,35.779999,15928000,27.05056
2010-11-01,32.77,33.619999,31.60,32.009998,14358000,24.200346
2010-10-01,32.779999,33.68,31.76,32.48,20720900,24.555679
2010-09-01,29.700001,33.09,29.65,32.59,17788600,24.280674
2010-08-02,29.540001,30.379999,29.10,29.530001,18305700,22.000868
2010-07-01,28.00989,29.24,25.99,29.059999,24601400,21.650702
2010-06-01,27.299892,29.469885,27.059893,28.01989,21667700,19.22967
2010-05-03,29.159883,29.439884,26.489895,27.519892,26753900,18.886528
2010-04-01,31.249876,31.709873,28.599888,28.899885,25106500,19.833599
2010-03-01,28.969887,31.499874,28.849886,31.019878,18796400,20.964417
2010-02-01,29.819881,29.879883,28.309889,28.929886,19062200,19.55192
2010-01-04,33.399868,33.449867,29.129887,29.419886,28023500,19.88308
