Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,2.36,3.06,2.20,2.87,12613300,2.87
2015-11-02,2.13,2.40,1.94,2.36,7318700,2.36
2015-10-01,1.77,2.21,1.72,2.12,9554700,2.12
2015-09-01,1.77,2.14,1.65,1.72,9247900,1.72
2015-08-03,1.93,2.21,1.65,1.81,12343900,1.81
2015-07-01,2.47,2.63,1.61,1.93,18839200,1.93
2015-06-01,2.29,2.67,2.25,2.40,18574000,2.40
2015-05-01,2.26,2.39,2.20,2.28,10907300,2.28
2015-04-01,2.66,2.94,2.25,2.26,16507200,2.26
2015-03-02,3.13,3.23,2.53,2.68,12583600,2.68
2015-02-02,2.69,3.37,2.65,3.11,18253400,3.11
2015-01-02,2.67,2.84,2.14,2.57,22415000,2.57
2014-12-01,2.77,2.82,2.35,2.67,14320700,2.67
2014-11-03,2.81,2.91,2.59,2.79,11551600,2.79
2014-10-01,3.39,3.46,2.54,2.80,29917900,2.80
2014-09-02,4.16,4.25,3.40,3.41,20405900,3.41
2014-08-01,3.91,4.32,3.87,4.17,22376900,4.17
2014-07-01,4.21,4.80,3.67,3.91,54088200,3.91
2014-06-02,4.03,4.50,3.90,4.19,21778700,4.19
2014-05-01,4.13,4.24,3.85,4.00,15273400,4.00
2014-04-01,4.04,4.35,3.65,4.09,29091900,4.09
2014-03-03,3.66,4.14,3.60,4.01,22212300,4.01
2014-02-03,3.43,3.77,3.29,3.71,17481700,3.71
2014-01-02,3.85,4.60,3.35,3.43,37334400,3.43
2013-12-02,3.65,3.88,3.48,3.87,15499800,3.87
2013-11-01,3.37,3.68,3.20,3.64,16377500,3.64
2013-10-01,3.82,4.13,3.04,3.34,40332000,3.34
2013-09-03,3.32,4.00,3.25,3.81,28316900,3.81
2013-08-01,3.81,3.87,3.25,3.27,21286200,3.27
2013-07-01,4.11,4.65,3.58,3.77,41922500,3.77
2013-06-03,4.02,4.21,3.81,4.08,22289000,4.08
2013-05-01,2.81,4.42,2.79,4.00,44269100,4.00
2013-04-01,2.54,2.82,2.26,2.82,19908600,2.82
2013-03-01,2.50,2.75,2.36,2.55,13073900,2.55
2013-02-01,2.63,2.84,2.44,2.49,15787300,2.49
2013-01-02,2.55,2.93,2.43,2.60,28893800,2.60
2012-12-03,2.28,2.59,2.21,2.40,26332200,2.40
2012-11-01,2.07,2.35,1.81,2.20,31253700,2.20
2012-10-01,3.39,3.41,2.03,2.05,32923700,2.05
2012-09-04,3.69,4.02,3.22,3.37,32196800,3.37
2012-08-01,4.09,4.47,3.60,3.72,17499600,3.72
2012-07-02,5.75,6.08,3.98,4.06,20782800,4.06
2012-06-01,5.90,6.14,5.32,5.73,15539000,5.73
2012-05-01,7.34,7.72,5.89,6.08,17106500,6.08
2012-04-02,8.03,8.24,7.21,7.36,17968000,7.36
2012-03-01,7.47,8.35,6.76,8.02,16139600,8.02
2012-02-01,6.83,7.68,6.80,7.35,16454300,7.35
2012-01-03,5.53,6.95,5.35,6.71,18312700,6.71
2011-12-01,5.61,5.84,4.82,5.40,12057000,5.40
2011-11-01,5.56,6.00,4.96,5.69,18591900,5.69
2011-10-03,5.03,6.05,4.31,5.83,24218500,5.83
2011-09-01,6.83,7.44,5.07,5.08,27445000,5.08
2011-08-01,7.54,7.58,5.60,6.83,26505200,6.83
2011-07-01,6.99,7.87,6.09,7.34,26643300,7.34
2011-06-01,8.65,8.68,6.72,6.99,22431300,6.99
2011-05-02,9.16,9.17,8.31,8.68,15198400,8.68
2011-04-01,8.61,9.14,8.01,9.10,18060900,9.10
2011-03-01,9.27,9.39,7.93,8.60,19548000,8.60
2011-02-01,8.10,9.58,8.03,9.21,30564600,9.21
2011-01-03,8.44,9.25,7.34,7.83,35200100,7.83
2010-12-01,7.41,8.43,7.37,8.18,16051000,8.18
2010-11-01,7.48,8.24,7.24,7.29,21097500,7.29
2010-10-01,7.20,7.68,6.77,7.34,29957800,7.34
2010-09-01,5.75,7.44,5.67,7.11,32497300,7.11
2010-08-02,7.63,7.77,5.53,5.61,31767700,5.61
2010-07-01,7.35,8.25,6.96,7.49,35430400,7.49
2010-06-01,8.43,9.19,7.30,7.32,28502400,7.32
2010-05-03,9.18,9.78,7.68,8.57,37147700,8.57
2010-04-01,9.34,10.24,9.06,9.07,27779900,9.07
2010-03-01,7.94,9.74,7.94,9.27,16312000,9.27
2010-02-01,7.61,8.20,6.98,7.91,19301500,7.91
2010-01-04,9.79,9.90,7.30,7.46,30361200,7.46
