Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,8.25,8.41,6.08,6.77,49599500,6.77
2015-11-02,11.79,12.75,7.94,8.18,35011300,8.18
2015-10-01,9.91,14.20,9.51,11.77,35179500,11.77
2015-09-01,10.11,12.59,8.62,9.69,47349500,9.652557
2015-08-03,11.64,11.87,7.76,10.64,45844400,10.598887
2015-07-01,18.58,18.84,11.16,11.75,29462100,11.704598
2015-06-01,19.75,21.17,18.51,18.620001,15724400,18.369665
2015-05-01,23.379999,23.969999,19.65,19.65,16037800,19.385815
2015-04-01,19.10,23.66,18.110001,23.27,21259200,22.957148
2015-03-02,21.629999,21.629999,17.02,18.950001,21385900,18.644148
2015-02-02,16.98,21.90,16.809999,21.629999,20146900,21.28089
2015-01-02,23.35,23.719999,16.43,16.809999,24178500,16.538685
2014-12-01,26.709999,26.889999,20.940001,23.360001,17569300,22.67115
2014-11-03,28.700001,29.92,26.639999,26.85,13561300,26.058235
2014-10-01,32.799999,32.91,27.719999,28.50,15009200,27.65958
2014-09-02,36.040001,36.220001,32.290001,32.650002,8986700,31.368704
2014-08-01,37.119999,37.529999,35.630001,36.369999,7087000,34.942715
2014-07-01,36.880001,39.32,36.830002,37.220001,10859700,35.759361
2014-06-02,34.32,36.509998,33.389999,36.50,8177100,34.78516
2014-05-01,34.220001,35.880001,33.43,34.049999,8631900,32.450268
2014-04-01,33.009998,34.48,32.349998,34.369999,9182000,32.755234
2014-03-03,32.709999,34.209999,30.379999,33.07,12837800,31.219093
2014-02-03,32.419998,34.099998,30.51,32.619999,11477600,30.794279
2014-01-02,37.689999,38.09,31.93,32.41,13443100,30.596033
2013-12-02,34.68,38.00,33.810001,37.740002,9015000,35.319412
2013-11-01,36.869999,37.509998,34.400002,34.689999,9881600,32.465031
2013-10-01,32.48,38.00,32.34,36.759998,13103000,34.402264
2013-09-03,31.07,34.990002,30.629999,33.080002,13263600,30.663589
2013-08-01,28.940001,32.200001,28.75,30.219999,13891300,28.012503
2013-07-01,28.620001,30.139999,26.950001,28.280001,13664000,26.214216
2013-06-03,31.040001,31.49,26.370001,27.610001,21167000,25.302917
2013-05-01,30.24,33.25,29.77,31.049999,19616600,27.223215
2013-04-01,32.990002,34.00,27.24,30.43,22061000,26.679628
2013-03-01,31.67,34.119999,30.719999,33.099998,14020100,28.75094
2013-02-01,35.84,36.259998,31.35,31.92,14630700,27.725985
2013-01-02,35.349998,35.740002,33.57,35.25,14879200,30.61845
2012-12-03,39.25,39.299999,30.540001,34.200001,32221200,29.44523
2012-11-01,39.23,40.84,36.360001,39.009998,12634200,33.586502
2012-10-01,40.209999,42.889999,38.66,38.880001,14583500,33.474579
2012-09-04,36.310001,43.650002,35.02,39.580002,19853400,33.812061
2012-08-01,33.580002,37.470001,32.32,36.110001,14186900,30.847738
2012-07-02,34.02,36.00,31.08,33.669998,19061900,28.763315
2012-06-01,31.559999,35.650002,31.280001,34.07,18293500,28.82972
2012-05-01,38.419998,38.689999,31.16,32.040001,17343600,27.111952
2012-04-02,38.25,39.43,35.73,38.299999,17421900,32.409103
2012-03-01,43.029999,43.470001,36.759998,38.040001,21439200,31.914043
2012-02-01,46.790001,47.279999,41.900002,42.560001,18100900,35.706142
2012-01-03,38.27,48.959999,38.119999,46.209999,19016700,38.768345
2011-12-01,39.34,41.220001,35.650002,36.790001,14259600,30.675287
2011-11-01,37.50,42.099998,33.77,39.599998,20242300,33.018246
2011-10-03,30.209999,43.50,28.85,40.259998,31734100,33.56855
2011-09-01,46.889999,47.869999,30.370001,30.450001,24351900,25.209984
2011-08-01,54.380001,54.549999,41.200001,47.110001,20550900,39.003033
2011-07-01,52.849998,56.779999,51.970001,52.959999,16393200,43.846329
2011-06-01,51.639999,53.419998,47.060001,52.900002,20451400,43.594193
2011-05-02,55.119999,55.57,46.060001,51.639999,24405000,42.55584
2011-04-01,55.459999,58.75,49.709999,55.02,19383400,44.901985
2011-03-01,53.130001,56.27,46.200001,55.549999,22005500,45.123463
2011-02-01,110.550003,114.209999,49.599998,52.950001,19170200,43.011475
2011-01-03,121.690002,122.690002,104.610001,108.75,22832900,44.16901
2010-12-01,104.129997,120.779999,103.050003,120.089996,16599500,48.574547
2010-11-01,96.550003,108.510002,95.010002,101.32,25840600,40.616623
2010-10-01,86.949997,100.339996,86.370003,94.790001,25224800,37.998909
2010-09-01,73.980003,87.919998,73.730003,85.389999,20903100,34.123077
2010-08-02,73.209999,76.25,65.709999,71.989998,21213000,28.768244
2010-07-01,59.189999,72.489998,56.709999,71.540001,28134600,28.588419
2010-06-01,69.129997,69.989998,58.240002,59.130001,29799300,23.517075
2010-05-03,75.599998,76.269997,62.689999,70.050003,42750300,27.860159
2010-04-01,84.889999,88.300003,75.099998,75.529999,26562500,30.039652
2010-03-01,77.169998,84.900002,75.360001,83.540001,27485400,33.166325
2010-02-01,68.129997,77.879997,66.029999,75.160004,43450400,29.839371
2010-01-04,82.610001,90.550003,66.199997,66.690002,37821300,26.476685
