Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,14.32,14.62,13.40,14.09,27624900,13.171285
2015-11-02,14.79,14.90,13.85,14.33,23581300,13.395636
2015-10-01,13.76,15.84,13.42,14.81,31704800,13.844338
2015-09-01,13.95,14.88,13.01,13.57,37373500,12.557401
2015-08-03,14.97,15.04,10.44,13.87,30217800,12.835014
2015-07-01,15.14,15.30,14.23,14.83,32029100,13.723379
2015-06-01,15.33,15.66,14.78,15.01,27583500,13.749455
2015-05-01,15.90,15.94,15.14,15.17,22391000,13.896019
2015-04-01,16.16,16.16,15.70,15.80,27145600,14.473111
2015-03-02,16.34,16.74,15.69,16.139999,28716800,14.64647
2015-02-02,14.75,16.620001,14.74,16.34,28685600,14.827963
2015-01-02,15.59,15.65,14.30,14.71,31350200,13.348797
2014-12-01,15.78,16.129999,13.93,15.50,27793200,13.923615
2014-11-03,14.10,15.84,13.86,15.73,32698800,14.130224
2014-10-01,14.77,14.83,13.26,14.09,41198700,12.657016
2014-09-02,17.48,17.870001,14.49,14.79,36701400,13.168542
2014-08-01,17.049999,17.52,16.719999,17.41,20772300,15.501306
2014-07-01,17.34,18.120001,17.01,17.02,29687400,15.154062
2014-06-02,16.51,17.35,16.379999,17.24,27751100,15.240737
2014-05-01,16.15,16.559999,15.43,16.440001,25142300,14.533511
2014-04-01,15.67,16.49,15.53,16.15,32891600,14.277141
2014-03-03,15.20,15.83,15.03,15.60,30686100,13.683983
2014-02-03,15.00,15.49,14.40,15.39,39388600,13.499776
2014-01-02,15.42,16.780001,14.90,14.96,50839000,13.122588
2013-12-02,17.120001,17.200001,15.10,15.43,50724700,13.427238
2013-11-01,17.24,17.24,16.530001,17.08,34365500,14.863073
2013-10-01,16.93,18.02,16.35,17.110001,39103300,14.88918
2013-09-03,16.42,17.77,16.209999,16.870001,40392300,14.596969
2013-08-01,17.040001,17.50,15.71,16.190001,35397400,14.00859
2013-07-01,15.61,17.68,15.56,16.879999,40875400,14.605619
2013-06-03,15.93,16.09,14.30,15.47,44285800,13.30723
2013-05-01,13.64,16.040001,13.35,15.68,47775800,13.487871
2013-04-01,13.01,13.76,12.15,13.71,37593300,11.707266
2013-03-01,12.56,13.47,12.38,13.15,33711800,11.22907
2013-02-01,13.10,13.31,12.10,12.61,35855500,10.767952
2013-01-02,13.23,14.30,12.67,12.95,63657800,11.058285
2012-12-03,11.56,13.08,11.03,12.95,65487200,10.97745
2012-11-01,11.19,11.60,10.38,11.45,44184700,9.705931
2012-10-01,9.89,11.17,9.71,11.16,50930800,9.460104
2012-09-04,9.37,10.66,9.35,9.86,42726900,8.317781
2012-08-01,9.29,9.70,8.82,9.34,30550200,7.879116
2012-07-02,9.50,9.79,8.83,9.24,42359100,7.752578
2012-06-01,10.33,10.80,9.46,9.59,52117800,8.046236
2012-05-01,11.25,11.34,9.96,10.56,48476400,8.860089
2012-04-02,12.50,12.95,11.15,11.28,49203000,9.464186
2012-03-01,12.48,13.04,12.00,12.48,45433900,10.425879
2012-02-01,12.73,13.00,11.99,12.38,48028700,10.34234
2012-01-03,11.00,13.05,10.99,12.42,65560900,10.375756
2011-12-01,10.51,11.42,9.84,10.76,49009200,8.953839
2011-11-01,11.33,11.68,9.75,10.60,55131300,8.820697
2011-10-03,9.66,12.65,9.05,11.68,80214100,9.71941
2011-09-01,11.14,11.27,9.32,9.67,61094500,8.046805
2011-08-01,12.75,12.81,9.81,11.12,92893600,9.25341
2011-07-01,13.92,14.22,12.00,12.21,62200000,10.160444
2011-06-01,14.78,14.90,12.65,13.79,73060300,11.475227
2011-05-02,15.52,15.69,14.35,14.92,55415500,12.415547
2011-04-01,15.03,16.18,14.49,15.47,71566800,12.873225
2011-03-01,15.10,15.20,13.75,14.91,75496800,12.407226
2011-02-01,16.139999,16.51,14.49,15.05,98180800,12.523726
2011-01-03,17.02,18.969999,15.45,15.95,118252700,13.272653
2010-12-01,16.24,17.030001,16.139999,16.790001,49679400,13.971652
2010-11-01,14.32,17.42,14.16,15.94,128240700,13.264331
2010-10-01,12.24,14.47,12.12,14.13,74920400,11.758156
2010-09-01,11.53,12.75,11.46,12.24,54829400,10.185409
2010-08-02,13.06,13.24,10.95,11.29,63841200,9.394875
2010-07-01,10.23,13.18,10.02,12.77,86658700,10.626444
2010-06-01,11.50,12.15,9.75,10.08,89608100,8.387983
2010-05-03,13.18,13.49,10.17,11.73,139647400,9.761016
2010-04-01,12.84,14.57,12.34,13.02,128193900,10.834479
2010-03-01,11.81,14.54,11.75,12.57,157158600,10.460015
2010-02-01,11.14,11.88,10.49,11.74,88672700,9.769338
2010-01-04,10.17,12.14,10.05,10.84,142966900,9.020411
