Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,75.839996,78.919998,75.379997,76.919998,5618500,76.153313
2015-11-02,74.040001,77.669998,73.889999,75.339996,5413600,74.589066
2015-10-01,66.860001,74.50,66.349998,73.919998,6486200,73.18322
2015-09-01,70.669998,72.50,63.98,66.940002,8194900,66.272797
2015-08-03,78.089996,78.910004,55.540001,72.290001,5836300,71.181725
2015-07-01,74.279999,78.900002,72.199997,78.389999,5297300,77.188202
2015-06-01,77.07,77.660004,73.239998,74.099998,6268100,72.963974
2015-05-01,74.010002,79.080002,73.730003,76.32,4835100,74.770546
2015-04-01,78.620003,78.970001,74.120003,74.449997,5610500,72.938507
2015-03-02,77.589996,79.50,75.800003,77.989998,6005500,76.406639
2015-02-02,70.980003,79.449997,70.910004,77.589996,7621000,75.715988
2015-01-02,72.129997,77.389999,70.870003,71.400002,13288500,69.675499
2014-12-01,73.410004,75.660004,70.779999,72.199997,7045400,70.456169
2014-11-03,68.120003,74.529999,67.389999,73.870003,6777200,71.787483
2014-10-01,61.950001,68.410004,59.830002,68.160004,11851000,66.238457
2014-09-02,63.869999,67.110001,61.93,61.950001,9116200,59.907124
2014-08-01,61.34,64.620003,60.68,63.849998,7220200,61.744469
2014-07-01,63.290001,64.559998,61.470001,61.740002,8015300,59.704052
2014-06-02,61.00,65.50,58.32,63.759998,12982200,61.362492
2014-05-01,58.84,61.18,58.25,61.029999,3584200,58.735146
2014-04-01,61.610001,62.900002,55.849998,58.82,5049800,56.608246
2014-03-03,58.689999,61.740002,57.860001,61.540001,4878200,58.956806
2014-02-03,56.560001,59.799999,53.330002,59.259998,5913600,56.772511
2014-01-02,57.209999,60.93,56.110001,56.560001,5979000,54.185848
2013-12-02,57.32,58.200001,55.560001,57.389999,3697100,54.981007
2013-11-01,57.549999,58.849998,56.450001,57.32,4111800,54.645931
2013-10-01,53.34,58.82,52.439999,57.400002,4157500,54.722198
2013-09-03,52.25,54.299999,51.779999,53.25,4311500,50.500214
2013-08-01,55.34,55.98,51.220001,51.75,5281100,49.077671
2013-07-01,52.060001,55.900002,51.279999,55.240002,4511600,52.387451
2013-06-03,51.240002,53.799999,50.599998,51.470001,5893300,48.549549
2013-05-01,46.57,53.830002,46.259998,51.009998,5742900,48.115646
2013-04-01,46.900002,47.98,45.389999,46.68,4209500,44.031338
2013-03-01,44.799999,47.009998,44.509998,46.959999,4031100,44.052116
2013-02-01,46.849998,47.400002,43.509998,44.959999,5406600,42.175961
2013-01-02,41.450001,46.950001,41.16,46.599998,5043300,43.714409
2012-12-03,42.279999,43.02,40.279999,41.02,4162500,38.479939
2012-11-01,41.599998,43.27,40.439999,42.110001,5028500,39.26152
2012-10-01,43.27,44.790001,41.330002,41.580002,4872500,38.767372
2012-09-04,40.669998,44.040001,40.610001,43.119999,4725100,39.964054
2012-08-01,39.57,41.790001,38.529999,40.66,4055600,37.684101
2012-07-02,38.75,39.68,37.060001,39.419998,4739200,36.534855
2012-06-01,36.349998,38.759998,35.669998,38.73,5365000,35.657097
2012-05-01,38.200001,38.990002,36.259998,36.84,4798700,33.917053
2012-04-02,39.16,39.799999,36.880001,38.200001,5610000,35.169147
2012-03-01,38.150002,40.369999,37.34,39.189999,5426800,35.85886
2012-02-01,38.98,40.779999,37.599998,38.119999,6252700,34.87981
2012-01-03,38.919998,40.16,38.119999,38.57,6269600,35.291561
2011-12-01,36.349998,38.66,34.07,38.25,7009600,34.778942
2011-11-01,34.23,36.869999,33.110001,36.43,6316900,33.124104
2011-10-03,33.200001,35.540001,31.059999,34.740002,6462100,31.587465
2011-09-01,35.23,35.619999,32.450001,33.240002,6830800,29.995075
2011-08-01,36.360001,36.360001,30.18,35.07,10125400,31.646427
2011-07-01,38.529999,39.189999,35.549999,36.049999,5908200,32.530758
2011-06-01,40.509998,40.810001,37.52,38.529999,6394400,34.546085
2011-05-02,41.970001,43.330002,39.91,40.700001,7061700,36.491714
2011-04-01,39.77,42.200001,39.18,41.75,5026200,37.433144
2011-03-01,40.00,40.220001,36.310001,39.349998,5908400,35.079048
2011-02-01,38.50,41.369999,38.00,39.919998,6346600,35.587181
2011-01-03,37.25,39.00,36.169998,38.32,8259000,34.160843
2010-12-01,33.959999,39.529999,33.740002,37.09,7600300,32.863819
2010-11-01,35.599998,35.880001,33.330002,33.529999,6190100,29.709459
2010-10-01,33.66,36.619999,33.02,35.23,7772400,31.215755
2010-09-01,31.74,34.150002,31.68,33.580002,7774000,29.556168
2010-08-02,37.490002,38.080002,30.799999,31.450001,8718000,27.6814
2010-07-01,36.09,38.369999,35.130001,36.970001,6438800,32.539951
2010-06-01,38.860001,39.50,35.849998,36.27,7607900,31.725407
2010-05-03,43.68,44.310001,38.73,39.18,8328100,34.270786
2010-04-01,45.310001,46.00,43.060001,43.689999,5336500,38.215687
2010-03-01,43.50,46.349998,43.41,45.029999,5704600,39.210091
2010-02-01,42.98,44.509998,41.099998,43.400002,6522600,37.79076
2010-01-04,44.34,46.66,42.84,42.889999,5955100,37.346676
