Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,33.00,33.830002,31.84,32.279999,34548100,31.103703
2015-11-02,34.169998,35.25,30.99,32.77,44640900,31.575848
2015-10-01,31.299999,36.07,31.10,33.82,33473100,32.32666
2015-09-01,31.459999,33.959999,30.639999,31.41,29177200,30.023075
2015-08-03,36.290001,36.299999,28.469999,32.220001,27519400,30.79731
2015-07-01,33.560001,36.459999,33.080002,36.060001,23920500,34.200489
2015-06-01,34.77,34.919998,33.330002,33.529999,24666600,31.800951
2015-05-01,33.860001,34.990002,33.209999,34.75,24398200,32.958038
2015-04-01,34.84,35.529999,33.709999,33.93,27814200,31.916243
2015-03-02,34.32,35.450001,33.630001,34.790001,30966500,32.725201
2015-02-02,31.440001,34.970001,31.02,34.32,33144100,32.283096
2015-01-02,31.27,33.50,31.01,31.25,32063400,29.138252
2014-12-01,30.879999,33.119999,30.58,31.15,24918500,29.04501
2014-11-03,29.90,31.639999,29.76,31.15,22471400,29.04501
2014-10-01,29.370001,30.200001,27.51,29.950001,30533700,27.686314
2014-09-02,29.209999,30.84,29.01,29.57,23796300,27.335033
2014-08-01,28.700001,29.67,27.870001,29.389999,22757200,27.168638
2014-07-01,29.610001,31.309999,28.700001,28.700001,25876000,26.530792
2014-06-02,29.59,29.92,29.15,29.68,24000100,27.196777
2014-05-01,31.08,31.58,28.77,29.629999,33961400,27.150959
2014-04-01,31.93,32.689999,29.58,31.280001,33733800,28.409687
2014-03-03,31.52,32.959999,30.83,32.119999,28084400,29.172606
2014-02-03,31.030001,32.41,30.57,32.110001,29503900,29.163525
2014-01-02,30.469999,31.42,29.66,30.40,28032400,27.382105
2013-12-02,31.610001,31.93,29.950001,30.629999,25872000,27.589272
2013-11-01,30.700001,32.50,30.690001,31.73,23704600,28.580072
2013-10-01,28.58,31.35,28.02,30.690001,28383700,27.430948
2013-09-03,28.379999,29.27,27.860001,28.73,26732400,25.679085
2013-08-01,29.43,29.450001,27.76,28.209999,24663800,25.214304
2013-07-01,27.969999,30.43,27.33,29.23,36234400,26.125988
2013-06-03,27.299999,29.809999,27.120001,28.01,116729700,24.833033
2013-05-01,28.83,30.040001,27.23,27.23,45158200,24.1415
2013-04-01,28.75,31.15,28.639999,29.07,38511200,25.559732
2013-03-01,27.18,28.90,27.15,28.860001,30681800,25.375092
2013-02-01,27.58,27.799999,26.790001,27.370001,30559900,24.065012
2013-01-02,25.530001,27.84,25.33,27.280001,38862300,23.98588
2012-12-03,25.040001,25.790001,24.629999,25.08,31546100,21.860474
2012-11-01,24.82,25.08,23.549999,25.02,34383500,21.808176
2012-10-01,24.799999,26.09,24.799999,24.870001,27708400,21.484432
2012-09-04,23.790001,25.15,23.629999,24.85,29945400,21.467154
2012-08-01,23.92,24.370001,23.59,23.860001,26691300,20.611923
2012-07-02,22.85,24.49,22.00,24.040001,43919700,20.57737
2012-06-01,21.76,23.00,21.40,23.00,28814700,19.687166
2012-05-01,22.629999,22.99,21.85,21.870001,40211900,18.719929
2012-04-02,22.540001,23.299999,21.77,22.90,45957300,19.409225
2012-03-01,21.07,22.799999,21.049999,22.65,36590700,19.197334
2012-02-01,21.25,21.530001,20.75,21.129999,35337000,17.909037
2012-01-03,21.860001,22.17,21.219999,21.40,50192000,17.951416
2011-12-01,20.030001,21.90,19.73,21.639999,44507100,18.15274
2011-11-01,19.15,20.15,18.15,20.07,53813800,16.835743
2011-10-03,17.690001,19.950001,17.049999,19.26,44775100,15.995275
2011-09-01,18.91,19.15,17.299999,17.68,49899900,14.683098
2011-08-01,19.440001,19.459999,16.629999,18.98,67274100,15.762737
2011-07-01,20.50,20.950001,19.049999,19.25,46151000,15.810707
2011-06-01,21.34,21.450001,20.030001,20.60,46040800,16.91951
2011-05-02,21.139999,21.450001,20.07,21.450001,47818900,17.617645
2011-04-01,20.35,21.059999,19.10,20.969999,48380100,17.058271
2011-03-01,19.35,20.57,18.969999,20.309999,54771000,16.521387
2011-02-01,18.49,19.389999,18.459999,19.24,50955700,15.650984
2011-01-03,17.700001,18.76,17.620001,18.219999,57805000,14.667027
2010-12-01,16.49,17.700001,16.42,17.51,39904500,14.09548
2010-11-01,17.629999,17.84,16.25,16.299999,43786400,13.121434
2010-10-01,17.25,17.90,16.860001,17.42,46214700,13.879532
2010-09-01,16.129999,17.50,16.07,17.17,44877200,13.680342
2010-08-02,15.16,16.60,15.10,15.91,57078000,12.676426
2010-07-01,14.29,15.44,14.00,15.00,51233300,11.819721
2010-06-01,15.16,15.60,14.17,14.26,60257300,11.236615
2010-05-03,16.799999,17.389999,14.75,15.23,87303400,12.000957
2010-04-01,17.209999,17.33,16.33,16.719999,71789500,13.037648
2010-03-01,17.610001,17.879999,16.799999,17.15,64463500,13.372947
2010-02-01,18.790001,19.33,17.43,17.549999,66955500,13.684853
2010-01-04,18.27,20.360001,18.24,18.66,56357400,14.414265
