Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,4.12,4.18,3.96,4.07,27345900,4.060169
2015-11-02,4.09,4.20,4.02,4.11,24141600,4.100072
2015-10-01,3.76,4.18,3.69,4.08,33346300,4.070145
2015-09-01,3.77,3.92,3.65,3.74,26203000,3.730966
2015-08-03,3.96,4.01,3.31,3.82,29679700,3.810773
2015-07-01,3.76,4.01,3.63,3.96,32554100,3.950435
2015-06-01,3.85,3.93,3.70,3.73,25658500,3.72099
2015-05-01,3.94,3.95,3.79,3.86,21560800,3.850676
2015-04-01,3.84,4.00,3.83,3.95,29732700,3.940459
2015-03-02,3.87,4.04,3.81,3.82,27937300,3.810773
2015-02-02,3.56,3.93,3.51,3.89,32466700,3.880604
2015-01-02,3.50,3.66,3.33,3.55,42324100,3.541425
2014-12-01,3.61,3.63,3.27,3.50,28685500,3.491546
2014-11-03,3.43,3.63,3.42,3.63,24523400,3.621232
2014-10-01,3.48,3.50,3.14,3.43,37118800,3.421715
2014-09-02,3.62,3.65,3.45,3.49,35856100,3.48157
2014-08-01,3.39,3.63,3.30,3.63,41244000,3.621232
2014-07-01,3.47,3.49,3.28,3.38,47117400,3.371836
2014-06-02,3.28,3.49,3.27,3.46,49521500,3.451643
2014-05-01,3.17,3.36,3.09,3.28,56698300,3.272077
2014-04-01,3.20,3.40,2.98,3.19,82157100,3.182295
2014-03-03,3.59,3.63,3.09,3.20,81921600,3.192271
2014-02-03,3.59,3.63,3.35,3.61,52556400,3.60128
2014-01-02,3.46,3.89,3.45,3.58,94456700,3.571352
2013-12-02,3.79,3.82,3.32,3.49,51539900,3.48157
2013-11-01,3.80,3.89,3.56,3.77,47489900,3.760894
2013-10-01,3.87,4.18,3.66,3.77,56745100,3.760894
2013-09-03,3.60,3.99,3.59,3.88,40253100,3.870628
2013-08-01,3.78,3.85,3.55,3.58,31404500,3.571352
2013-07-01,3.35,3.81,3.30,3.74,48292700,3.730966
2013-06-03,3.50,3.52,3.04,3.35,86972700,3.341908
2013-05-01,3.23,3.63,3.23,3.49,53218100,3.48157
2013-04-01,3.08,3.25,2.95,3.25,46034900,3.24215
2013-03-01,3.10,3.25,3.05,3.08,49562900,3.07256
2013-02-01,3.17,3.25,2.97,3.11,65421400,3.102488
2013-01-02,2.95,3.19,2.95,3.14,61554500,3.132416
2012-12-03,2.79,3.01,2.68,2.89,68688200,2.883019
2012-11-01,2.81,2.96,2.55,2.77,77337000,2.71343
2012-10-01,2.59,2.97,2.56,2.80,87343400,2.742817
2012-09-04,2.53,2.60,2.33,2.59,65920500,2.537106
2012-08-01,2.18,2.64,2.09,2.53,79503900,2.478331
2012-07-02,1.84,2.20,1.84,2.16,42766900,2.115888
2012-06-01,1.85,1.95,1.80,1.85,33146000,1.812219
2012-05-01,2.26,2.31,1.78,1.89,77110500,1.851402
2012-04-02,2.31,2.41,2.11,2.26,56187200,2.213845
2012-03-01,2.27,2.36,2.20,2.31,48960400,2.262824
2012-02-01,2.10,2.28,2.08,2.26,61812800,2.213845
2012-01-03,1.84,2.19,1.80,2.08,68682500,2.037521
2011-12-01,1.81,1.92,1.70,1.82,35500800,1.782831
2011-11-01,1.69,1.92,1.61,1.80,72517400,1.76324
2011-10-03,1.47,1.86,1.27,1.79,66117700,1.753444
2011-09-01,1.81,1.89,1.44,1.51,78948900,1.479162
2011-08-01,2.22,2.22,1.59,1.80,117126800,1.76324
2011-07-01,2.23,2.35,1.99,2.11,77628500,2.066909
2011-06-01,2.35,2.35,1.86,2.19,88012800,2.145275
2011-05-02,2.00,2.44,1.90,2.35,134050500,2.302007
2011-04-01,1.67,2.00,1.62,1.99,53114000,1.949359
2011-03-01,1.83,1.83,1.62,1.65,52465700,1.616303
2011-02-01,1.62,1.88,1.61,1.81,74536400,1.773035
2011-01-03,1.67,1.74,1.49,1.62,48956000,1.586916
2010-12-01,1.39,1.69,1.31,1.63,48974000,1.596712
2010-11-01,1.55,1.61,1.32,1.37,64285300,1.342021
2010-10-01,1.20,1.50,1.18,1.50,72129200,1.469366
2010-09-01,0.97,1.20,0.96,1.20,64080000,1.175493
2010-08-02,1.03,1.06,0.95,0.96,85656500,0.940394
2010-07-01,0.95,1.03,0.90,1.03,66068900,1.008965
2010-06-01,1.02,1.10,0.92,0.95,72737600,0.930599
2010-05-03,1.19,1.25,0.86,1.03,90706000,1.008965
2010-04-01,0.88,1.22,0.84,1.18,164173300,1.155902
2010-03-01,0.96,1.01,0.79,0.87,177751500,0.852233
2010-02-01,0.86,1.18,0.82,1.02,119121800,0.999169
2010-01-04,0.61,0.88,0.61,0.84,48369900,0.822845
