Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,3.38,3.50,2.99,3.29,19637800,3.29
2015-11-02,4.33,4.85,3.30,3.37,29155200,3.37
2015-10-01,4.21,5.53,4.11,4.36,29679300,4.36
2015-09-01,4.67,5.30,4.03,4.20,23214600,4.11852
2015-08-03,5.16,5.69,4.13,4.95,27337400,4.85397
2015-07-01,5.91,5.96,4.91,5.26,33475200,5.157956
2015-06-01,6.33,6.93,5.83,5.89,28581300,5.775734
2015-05-01,7.90,9.14,6.30,6.30,38422400,6.17778
2015-04-01,5.59,8.45,5.45,7.68,39129100,7.531008
2015-03-02,7.38,7.39,5.56,5.65,31096200,5.36505
2015-02-02,6.97,8.13,6.95,7.42,28393600,7.045782
2015-01-02,8.02,8.83,6.69,7.03,31047200,6.675451
2014-12-01,8.96,8.98,6.82,8.18,31435500,7.767453
2014-11-03,9.96,9.98,8.40,9.01,28895900,8.555593
2014-10-01,11.00,11.95,9.72,10.09,29421600,9.581124
2014-09-02,13.00,13.20,10.61,11.01,29179200,10.323338
2014-08-01,14.32,14.41,12.88,13.06,18087200,12.245484
2014-07-01,13.48,14.93,13.41,14.35,17563800,13.455031
2014-06-02,12.77,13.49,12.55,13.23,17371000,12.404881
2014-05-01,13.14,14.24,12.61,12.75,18769800,11.954818
2014-04-01,13.96,15.59,12.97,13.22,22956700,12.395506
2014-03-03,13.95,14.11,12.29,13.83,22831500,12.611818
2014-02-03,13.50,14.85,13.17,14.17,23224900,12.92187
2014-01-02,14.90,14.93,12.69,13.60,22122100,12.402078
2013-12-02,15.18,15.58,14.40,15.25,13774300,13.906741
2013-11-01,16.08,17.139999,14.68,15.32,20431300,13.970575
2013-10-01,15.66,16.82,14.90,16.02,16687600,14.608918
2013-09-03,14.89,16.889999,14.79,15.61,18994300,13.861639
2013-08-01,13.89,15.89,13.56,14.41,20777000,12.796042
2013-07-01,13.17,14.57,12.39,13.72,16732600,12.183325
2013-06-03,14.53,15.10,12.73,13.15,20723100,11.677165
2013-05-01,16.99,17.719999,14.21,14.40,18501800,12.787162
2013-04-01,17.25,18.549999,15.47,17.09,21751800,15.175876
2013-03-01,18.52,19.41,16.77,17.290001,19659300,14.94929
2013-02-01,20.690001,20.700001,17.780001,18.99,17501100,16.419144
2013-01-02,21.76,21.879999,19.309999,20.17,15198900,17.439398
2012-12-03,17.719999,21.09,17.15,20.959999,16952000,18.122446
2012-11-01,18.459999,19.08,16.92,17.43,15039400,15.070336
2012-10-01,18.07,19.190001,17.35,18.32,21996400,15.839849
2012-09-04,16.35,19.76,15.77,17.90,26426200,14.991051
2012-08-01,18.17,19.25,15.80,16.370001,18574100,13.709694
2012-07-02,20.01,20.719999,16.799999,18.049999,16810000,15.116673
2012-06-01,18.059999,20.48,17.719999,19.85,18175500,16.624155
2012-05-01,22.43,22.66,17.620001,18.309999,24159600,15.334421
2012-04-02,23.33,24.18,21.93,22.200001,20330900,18.592255
2012-03-01,25.450001,25.85,22.24,23.33,18633200,19.056089
2012-02-01,25.940001,26.870001,24.620001,25.139999,17523200,20.53451
2012-01-03,22.620001,25.65,22.18,25.299999,20761300,20.665197
2011-12-01,23.17,24.290001,20.459999,21.450001,14437400,17.520494
2011-11-01,24.110001,26.68,21.76,23.25,17815700,18.990746
2011-10-03,22.41,26.790001,21.139999,25.41,24081400,20.755047
2011-09-01,28.209999,28.41,22.559999,22.799999,21815100,18.198996
2011-08-01,32.93,32.970001,24.08,28.24,23594000,22.541214
2011-07-01,32.509998,33.740002,32.02,32.439999,17071900,25.341402
2011-06-01,31.879999,32.189999,29.42,31.950001,14101400,24.958626
2011-05-02,33.310001,33.450001,29.190001,32.259998,21508400,25.200788
2011-04-01,33.709999,34.740002,31.530001,33.400002,19506100,26.091335
2011-03-01,34.389999,34.889999,30.68,33.349998,21861800,25.744213
2011-02-01,35.279999,35.889999,33.099998,34.23,21183100,26.423521
2011-01-03,34.919998,37.25,33.860001,34.830002,22894000,26.886688
2010-12-01,32.439999,35.00,32.360001,34.57,15146400,26.545843
2010-11-01,32.060001,34.369999,31.09,31.68,20688100,24.326651
2010-10-01,31.60,33.25,31.309999,32.139999,22043900,24.679878
2010-09-01,27.469999,31.309999,27.059999,31.27,22024500,23.769207
2010-08-02,28.50,29.41,25.950001,26.75,17835000,20.333427
2010-07-01,24.42,28.309999,23.860001,27.799999,25017800,21.131561
2010-06-01,27.190001,28.40,24.25,24.35,29877100,18.509121
2010-05-03,30.809999,31.10,23.58,27.190001,45836900,20.667885
2010-04-01,32.790001,34.709999,29.67,30.620001,28156000,23.275124
2010-03-01,28.200001,32.66,28.09,32.189999,27132000,24.298553
2010-02-01,26.120001,29.280001,24.209999,27.860001,28624800,21.030064
2010-01-04,29.59,31.959999,25.559999,25.790001,25765400,19.467529
