Date,AMD,AAPL,BAC,COKE,FCX,F,GE,MDT,MRO,PFE,SIRI,SBUX,X,VALE,VZ,SP500
2015/12/1,2.87,104.984184,16.632114,182.222748,6.77,13.171285,30.432741,76.153313,12.366065,31.103703,4.060169,59.92329,8.031474,3.29,44.751801,2043.939941
2015/11/2,2.36,115.725212,17.176702,192.426834,8.18,13.395636,29.033443,74.589066,17.198555,31.575848,4.100072,60.484886,7.962407,3.37,43.488758,2080.409912
2015/10/1,2.12,116.400833,16.536148,209.854248,11.77,13.844338,28.044329,73.18322,18.000416,32.32666,4.070145,61.448528,11.469453,4.36,44.857052,2079.360107
2015/9/1,1.72,107.43943,15.353586,191.907806,9.652557,12.557401,24.45636,66.272797,15.081959,30.023075,3.730966,55.821228,10.232165,4.11852,41.098598,1920.030029
2015/8/3,1.81,109.835632,16.050865,153.055847,10.598887,12.835014,23.854984,71.181725,16.932928,30.79731,3.810773,53.729404,16.084728,4.85397,43.460045,1972.180054
2015/7/1,1.93,117.62175,17.563614,160.766693,11.704598,13.723379,25.085217,77.188202,20.32777,34.200489,3.950435,56.735264,19.072462,5.157956,44.196819,2103.840088
2015/6/1,2.4,121.626511,16.718832,149.681046,18.369665,13.749455,25.536943,72.963974,25.678202,31.800951,3.72099,52.514153,20.198982,5.775734,43.514313,2063.110107
2015/5/1,2.28,126.329437,16.159565,112.525826,19.385815,13.896019,25.98867,74.770546,26.307095,32.958038,3.850676,50.888386,23.901802,6.17778,46.156353,2107.389893
2015/4/1,2.26,120.850197,15.601325,111.96106,22.957148,14.473111,25.807596,72.938507,29.861847,31.916243,3.940459,48.403477,23.481188,7.531008,47.089935,2085.51001
2015/3/2,2.68,120.154938,15.072467,111.774742,18.644148,14.64647,23.644257,76.406639,25.070509,32.725201,3.810773,46.226391,23.852663,5.36505,44.893353,2067.889893
2015/2/2,3.11,124.046478,15.435535,103.2033,21.28089,14.827963,24.768812,75.715988,26.750837,32.283096,3.880604,45.635746,23.412758,7.045782,45.650345,2104.5
2015/1/2,2.57,112.68998,14.791167,96.431175,16.538685,13.348797,22.560097,69.675499,25.354633,29.138252,3.541425,42.571075,23.840254,6.675451,42.197716,1994.98999
2014/12/1,2.67,106.168648,17.466269,86.819939,22.67115,13.923615,23.863276,70.456169,26.965511,29.04501,3.491546,39.905827,26.083811,7.767453,42.680569,2058.899902
