Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,8.06,9.58,6.80,8.14,11203800,8.031474
2015-11-02,11.70,13.48,7.50,8.07,12052700,7.962407
2015-10-01,10.33,13.08,9.66,11.68,9794000,11.469453
2015-09-01,15.83,16.639999,10.02,10.42,12317700,10.232165
2015-08-03,19.27,21.49,14.19,16.379999,11865900,16.084728
2015-07-01,20.77,21.01,15.68,19.469999,12477500,19.072462
2015-06-01,24.370001,26.950001,20.26,20.620001,7095300,20.198982
2015-05-01,24.299999,27.09,23.190001,24.40,7614000,23.901802
2015-04-01,24.25,27.68,23.459999,24.02,9010800,23.481188
2015-03-02,23.950001,25.75,21.280001,24.40,9023900,23.852663
2015-02-02,24.440001,26.60,22.91,23.950001,9013900,23.412758
2015-01-02,27.190001,27.49,20.129999,24.440001,12180700,23.840254
2014-12-01,32.540001,32.900002,26.00,26.74,6934600,26.083811
2014-11-03,39.799999,39.830002,32.759998,33.349998,7075200,32.531605
2014-10-01,38.939999,42.25,30.57,40.040001,10570600,39.003338
2014-09-02,38.619999,46.549999,37.84,39.169998,8430300,38.155861
2014-08-01,33.50,39.580002,33.169998,38.650002,7271400,37.649326
2014-07-01,26.32,33.849998,25.67,33.490002,10259900,32.576847
2014-06-02,23.120001,26.35,22.469999,26.040001,5213600,25.329981
2014-05-01,26.01,26.52,22.93,23.040001,5349000,22.411781
2014-04-01,27.77,28.799999,25.35,26.02,5622400,25.310526
2014-03-03,23.90,28.139999,23.74,27.610001,6158200,26.857172
2014-02-03,26.15,27.309999,23.32,24.219999,7789400,23.559605
2014-01-02,29.969999,31.15,24.459999,26.110001,8511400,25.348448
2013-12-02,26.709999,30.469999,25.790001,29.50,6323800,28.63957
2013-11-01,24.950001,28.41,24.889999,26.809999,7935800,26.028028
2013-10-01,20.57,25.709999,20.440001,24.889999,7756300,24.118212
2013-09-03,18.309999,21.68,18.02,20.59,7555300,19.951546
2013-08-01,17.549999,19.50,16.860001,17.90,6021700,17.344957
2013-07-01,17.67,19.40,17.25,17.35,7778000,16.767418
2013-06-03,17.93,18.459999,16.120001,17.530001,7132900,16.941374
2013-05-01,17.620001,19.700001,16.90,17.690001,8517900,17.096003
2013-04-01,19.50,19.559999,15.80,17.799999,10823300,17.156967
2013-03-01,20.60,21.360001,19.190001,19.50,7581300,18.795555
2013-02-01,22.700001,24.00,20.139999,20.84,7553200,20.087147
2013-01-02,25.18,26.290001,22.17,22.35,8328100,21.494339
2012-12-03,21.84,24.780001,21.27,23.85,8159300,22.936911
2012-11-01,20.629999,22.469999,19.559999,21.559999,7864300,20.734583
2012-10-01,19.35,23.33,18.74,20.389999,10865500,19.563017
2012-09-04,19.459999,23.309999,18.290001,19.07,12025000,18.296555
2012-08-01,20.799999,23.84,19.059999,19.450001,8259800,18.661144
2012-07-02,20.530001,22.120001,17.799999,20.65,8867100,19.769608
2012-06-01,19.66,21.559999,17.67,20.60,12045000,19.721739
2012-05-01,28.27,29.25,19.950001,20.299999,11165300,19.434528
2012-04-02,29.18,30.66,26.389999,28.33,10849800,27.071463
2012-03-01,27.51,32.049999,24.780001,29.370001,11681000,28.065262
2012-02-01,30.780001,32.52,26.90,27.219999,10606400,26.010773
2012-01-03,27.42,31.23,26.639999,30.190001,13052500,28.80336
2011-12-01,26.969999,29.23,23.67,26.459999,10571700,25.24468
2011-11-01,24.049999,28.49,22.219999,27.299999,15116500,26.046099
2011-10-03,22.049999,28.09,18.85,25.360001,15391000,24.151875
2011-09-01,30.00,30.190001,21.73,22.01,12031100,20.961466
2011-08-01,40.959999,41.040001,25.440001,30.110001,12075700,28.675591
2011-07-01,45.990002,47.330002,39.049999,39.990002,8439900,38.02763
2011-06-01,45.82,46.68,40.950001,46.040001,8247500,43.780746
2011-05-02,47.91,47.970001,43.860001,46.110001,7776500,43.847313
2011-04-01,54.290001,55.75,46.889999,47.709999,11094300,45.319111
2011-03-01,57.689999,57.849998,52.110001,53.939999,10901800,51.236908
2011-02-01,58.27,64.029999,54.669998,57.490002,10973600,54.609013
2011-01-03,59.290001,61.18,51.330002,57.669998,12404000,54.732903
2010-12-01,49.459999,59.50,49.349998,58.419998,9062600,55.444706
2010-11-01,43.099998,49.150002,42.860001,48.610001,10898600,46.134323
2010-10-01,44.720001,46.650002,39.779999,42.720001,12962100,40.502544
2010-09-01,44.029999,49.139999,41.799999,43.84,13744400,41.564407
2010-08-02,45.50,51.389999,41.50,42.490002,12646100,40.284485
2010-07-01,38.549999,49.700001,36.93,44.330002,14337400,41.985645
2010-06-01,46.049999,46.650002,38.389999,38.549999,14442300,36.511314
2010-05-03,55.060001,57.959999,43.610001,47.209999,22531900,44.713337
2010-04-01,64.739998,70.949997,54.299999,54.66,17507700,51.71978
2010-03-01,53.580002,65.519997,52.900002,63.52,16703400,60.103191
2010-02-01,45.169998,54.130001,42.32,52.939999,20221400,50.0923
2010-01-04,56.419998,66.449997,43.75,44.43,22390600,41.993126
