Series Description,4-week Treasury bill secondary market rate   discount basis,3-month Treasury bill secondary market rate   discount basis,6-month Treasury bill secondary market rate   discount basis,1-year Treasury bill secondary market rate^  discount basis
Unit:,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year
Multiplier:,1,1,1,1
Currency:,NA,NA,NA,NA
Unique Identifier: ,H15/H15/RIFSGFSW04_N.M,H15/H15/RIFSGFSM03_N.M,H15/H15/RIFSGFSM06_N.M,H15/H15/RIFSGFSY01_N.M
Time Period,RIFSGFSW04_N.M,RIFSGFSM03_N.M,RIFSGFSM06_N.M,RIFSGFSY01_N.M
2010-01,0.02,0.06,0.15,0.32
2010-02,0.06,0.11,0.18,0.33
2010-03,0.11,0.15,0.22,0.37
2010-04,0.15,0.16,0.24,0.42
2010-05,0.15,0.16,0.22,0.35
2010-06,0.08,0.12,0.19,0.3
2010-07,0.16,0.16,0.2,0.28
2010-08,0.15,0.16,0.19,0.25
2010-09,0.12,0.15,0.19,0.25
2010-10,0.14,0.13,0.18,0.22
2010-11,0.13,0.14,0.18,0.24
2010-12,0.08,0.14,0.19,0.28
2011-01,0.14,0.15,0.18,0.26
2011-02,0.11,0.13,0.17,0.27
2011-03,0.06,0.1,0.16,0.24
2011-04,0.03,0.06,0.12,0.23
2011-05,0.02,0.04,0.09,0.17
2011-06,0.02,0.04,0.1,0.17
2011-07,0.04,0.04,0.08,0.18
2011-08,0.02,0.02,0.06,0.11
2011-09,0,0.01,0.04,0.1
2011-10,0.01,0.02,0.05,0.11
2011-11,0.01,0.01,0.05,0.11
2011-12,0,0.01,0.05,0.11
2012-01,0.02,0.03,0.07,0.11
2012-02,0.06,0.09,0.12,0.15
2012-03,0.06,0.08,0.14,0.18
2012-04,0.07,0.08,0.14,0.18
2012-05,0.07,0.09,0.15,0.19
2012-06,0.05,0.09,0.15,0.18
2012-07,0.07,0.1,0.15,0.18
2012-08,0.09,0.1,0.14,0.18
2012-09,0.07,0.11,0.14,0.17
2012-10,0.11,0.1,0.15,0.17
2012-11,0.13,0.09,0.14,0.17
2012-12,0.04,0.07,0.12,0.15
2013-01,0.05,0.07,0.11,0.14
2013-02,0.08,0.1,0.12,0.15
2013-03,0.08,0.09,0.11,0.14
2013-04,0.05,0.06,0.09,0.12
2013-05,0.02,0.04,0.08,0.11
2013-06,0.03,0.05,0.09,0.14
2013-07,0.02,0.04,0.07,0.12
2013-08,0.04,0.04,0.07,0.12
2013-09,0.02,0.02,0.04,0.11
2013-10,0.11,0.05,0.08,0.11
2013-11,0.05,0.07,0.1,0.12
2013-12,0.02,0.07,0.1,0.13
2014-01,0.02,0.04,0.07,0.11
2014-02,0.05,0.05,0.08,0.11
2014-03,0.05,0.05,0.08,0.12
2014-04,0.02,0.03,0.05,0.1
2014-05,0.03,0.03,0.05,0.09
2014-06,0.02,0.04,0.06,0.1
2014-07,0.02,0.03,0.06,0.1
2014-08,0.03,0.03,0.05,0.1
2014-09,0.01,0.02,0.04,0.1
2014-10,0.02,0.02,0.05,0.1
2014-11,0.04,0.02,0.07,0.12
2014-12,0.03,0.03,0.11,0.2
2015-01,0.02,0.03,0.08,0.18
2015-02,0.02,0.02,0.07,0.21
2015-03,0.02,0.03,0.11,0.24
2015-04,0.02,0.02,0.09,0.22
2015-05,0.01,0.02,0.08,0.22
2015-06,0,0.02,0.09,0.26
2015-07,0.03,0.03,0.12,0.28
2015-08,0.03,0.07,0.22,0.36
2015-09,0,0.02,0.18,0.35
2015-10,0.01,0.02,0.11,0.25
2015-11,0.07,0.12,0.32,0.45
2015-12,0.17,0.23,0.49,0.63
,,,,
,0.055,0.069722222,0.123333333,0.197083333
